;CD_ALUNO;NOMEDEP;NomeDepBol;RegiaoMetropolitana;CDREDE;DE;CODMUN;MUN;CODESC;TIPOCLASSE;SERIE_ANO;TURMA;CLASSE;SEXO;DT_NASCMTO;PERIODO;DEF1;DEF2;DEF3;DEF4;DEF5;Tip_PROVA;Tem_Nec;cad_prova_lp;cad_prova_mat;cad_prova_cie;particip_lp;particip_mat;particip_cie;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;TOTAL_PONTO_CIE;porc_ACERT_lp;porc_ACERT_MAT;porc_CIE;profic_lp;profic_mat;profic_cie;nivel_profic_lp;nivel_profic_mat;nivel_profic_cie;classific_lp;classific_mat;classific_cie;validade
22254;22408411;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914848;0;EM-3ª série;A;260638945;F;2005-03-11;MANHÃ;;;;;;C;0;26;26;26,0;1;1;1;22,0;15,0;14,0;91,7;62,5;58,3;354,7;327,6;314,6;Adequado;Básico;Básico;Suficiente;Suficiente;Suficiente;1
22660;22441326;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;F;264799305;F;2005-04-07;NOITE;;;;;;C;0;13;13;13,0;0;0;0;;;;;;;;;;;;;;;;1
22661;22441367;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;D;260592852;F;2005-01-31;MANHÃ;;;;;;C;0;6;6;6,0;0;0;1;;;4,0;;;16,7;;;217,5;;;Abaixo do Básico;;;Insuficiente;1
22667;22441892;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;G;266132257;F;2004-10-31;NOITE;;;;;;C;0;25;25;25,0;1;1;1;9,0;6,0;6,0;37,5;25,0;25,0;217,2;233,1;223,8;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
22669;22442053;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;D;260592852;M;2005-04-14;MANHÃ;;;;;;C;0;9;9;9,0;1;1;1;7,0;6,0;8,0;29,2;25,0;33,3;191,3;212,9;231,7;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
22671;22442161;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;EM-3ª série;B;261111058;M;2005-01-04;NOITE;;;;;;C;0;2;2;2,0;1;1;1;7,0;7,0;5,0;29,2;29,2;20,8;187,7;237,1;192,0;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
22673;22442205;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;EM-3ª série;A;261111041;F;2005-04-27;NOITE;;;;;;C;0;11;11;11,0;1;1;1;8,0;3,0;8,0;33,3;12,5;33,3;202,1;208,9;223,1;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
22674;22442256;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;40708;0;EM-3ª série;A;260619580;M;2005-01-14;TARDE;;;;;;C;0;22;22;22,0;1;1;1;21,0;17,0;15,0;87,5;70,8;62,5;327,5;330,5;358,2;Adequado;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
22700;22444435;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;EM-3ª série;A;262555014;F;2005-06-17;TARDE;;;;;;C;0;7;7;7,0;1;1;1;13,0;22,0;11,0;54,2;91,7;45,8;267,5;387,4;311,7;Básico;Adequado;Básico;Suficiente;Suficiente;Suficiente;1
22702;22444602;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;EM-3ª série;A;260592795;M;2005-04-22;TARDE;;;;;;C;0;15;15;15,0;1;1;1;15,0;8,0;16,0;62,5;33,3;66,7;285,6;248,4;322,3;Básico;Abaixo do Básico;Básico;Suficiente;Insuficiente;Suficiente;1
22850;22458248;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;44878;0;EM-3ª série;B;261100804;F;2005-01-09;TARDE;;;;;;C;0;11;11;11,0;1;1;1;14,0;6,0;7,0;58,3;25,0;29,2;299,9;246,2;246,9;Básico;Abaixo do Básico;Abaixo do Básico;Suficiente;Insuficiente;Insuficiente;1
22852;22458280;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;D;260592852;M;2005-01-02;MANHÃ;;;;;;C;0;18;18;18,0;1;1;1;17,0;14,0;17,0;70,8;58,3;70,8;327,3;305,2;379,0;Adequado;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
22857;22458433;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;A;260592860;M;2005-07-13;MANHÃ;;;;;;C;0;24;24;24,0;1;1;1;4,0;7,0;8,0;16,7;29,2;33,3;188,9;278,2;276,5;Abaixo do Básico;Básico;Básico;Insuficiente;Suficiente;Suficiente;1
22944;22466198;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;B;261092829;F;2005-04-08;MANHÃ;;;;;;C;0;21;21;21,0;1;1;1;18,0;15,0;17,0;75,0;62,5;70,8;336,9;317,7;387,1;Adequado;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
22946;22466236;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914848;0;EM-3ª série;A;260638945;M;2005-11-03;MANHÃ;;;;;;C;0;21;21;21,0;1;1;1;15,0;16,0;17,0;62,5;66,7;70,8;293,9;314,8;387,2;Básico;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
25626;22603431;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;D;260638879;F;2004-10-15;NOITE;;;;;;C;0;16;16;16,0;1;1;1;11,0;5,0;10,0;45,8;20,8;41,7;260,1;211,6;288,1;Básico;Abaixo do Básico;Básico;Suficiente;Insuficiente;Suficiente;1
25627;22603536;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;EM-3ª série;C;260592811;M;2005-03-08;TARDE;;;;;;C;0;12;12;12,0;1;1;1;3,0;11,0;5,0;12,5;45,8;20,8;159,4;295,6;219,5;Abaixo do Básico;Básico;Abaixo do Básico;Insuficiente;Suficiente;Insuficiente;1
26002;22618829;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;B;260592837;F;2005-05-04;MANHÃ;;;;;;C;0;9;9;9,0;1;1;1;15,0;17,0;10,0;62,5;70,8;41,7;296,3;323,7;269,2;Básico;Básico;Abaixo do Básico;Suficiente;Suficiente;Insuficiente;1
26280;22633013;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;902160;0;EM-3ª série;B;260631387;M;2004-01-02;NOITE;;;;;;C;0;2;2;2,0;1;1;1;7,0;13,0;9,0;29,2;54,2;37,5;201,5;309,9;268,8;Abaixo do Básico;Básico;Abaixo do Básico;Insuficiente;Suficiente;Insuficiente;1
26293;22633266;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;A;260592860;M;2005-08-22;MANHÃ;;;;;;C;0;21;21;21,0;1;1;1;17,0;18,0;13,0;70,8;75,0;54,2;301,8;345,3;326,9;Adequado;Básico;Básico;Suficiente;Suficiente;Suficiente;1
26302;22633394;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;44878;0;EM-3ª série;B;261100804;M;2005-06-05;TARDE;;;;;;C;0;25;25;25,0;1;1;1;4,0;7,0;6,0;16,7;29,2;25,0;167,8;213,3;231,1;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
28229;22709551;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914848;0;EM-3ª série;A;260638945;M;2005-05-07;MANHÃ;;;;;;C;0;11;11;11,0;1;1;1;12,0;4,0;10,0;50,0;16,7;41,7;264,3;228,5;243,4;Básico;Abaixo do Básico;Abaixo do Básico;Suficiente;Insuficiente;Insuficiente;1
28757;22725037;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;EM-3ª série;B;261111058;F;2003-09-13;NOITE;;;;;;C;0;3;3;3,0;1;1;1;4,0;4,0;2,0;16,7;16,7;8,3;194,8;199,1;174,1;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
28796;22726855;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;EM-3ª série;A;261111041;M;2003-09-11;NOITE;;;;;;C;0;21;21;21,0;1;1;1;6,0;7,0;5,0;25,0;29,2;20,8;185,9;225,9;198,6;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
28816;22728016;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;E;262406663;M;2004-07-31;NOITE;;;;;;C;0;12;12;12,0;1;1;1;6,0;7,0;5,0;25,0;29,2;20,8;210,4;217,3;184,8;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
28825;22728406;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;D;260592852;F;2005-06-21;MANHÃ;;;;;;C;0;12;12;12,0;1;1;1;8,0;5,0;11,0;33,3;20,8;45,8;246,7;221,6;265,9;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
28828;22728508;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;A;260592860;F;2005-10-27;MANHÃ;;;;;;C;0;5;5;5,0;1;1;1;16,0;6,0;8,0;66,7;25,0;33,3;285,2;210,5;259,1;Básico;Abaixo do Básico;Abaixo do Básico;Suficiente;Insuficiente;Insuficiente;1
28830;22728561;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;40708;0;EM-3ª série;B;260619598;F;2005-10-12;TARDE;;;;;;C;0;5;5;5,0;1;1;1;15,0;14,0;10,0;62,5;58,3;41,7;306,2;315,1;304,6;Adequado;Básico;Básico;Suficiente;Suficiente;Suficiente;1
31990;22826540;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;EM-3ª série;A;262555014;M;2005-11-25;TARDE;;;;;;C;0;16;16;16,0;1;1;1;10,0;15,0;4,0;41,7;62,5;16,7;258,5;325,0;186,8;Básico;Básico;Abaixo do Básico;Suficiente;Suficiente;Insuficiente;1
31996;22826674;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;D;260592852;M;2005-10-05;MANHÃ;;;;;;C;0;23;23;23,0;1;1;1;17,0;9,0;11,0;70,8;37,5;45,8;311,7;260,5;302,4;Adequado;Abaixo do Básico;Básico;Suficiente;Insuficiente;Suficiente;1
32007;22826875;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;EM-3ª série;A;260592795;M;2004-10-17;TARDE;;;;;;C;0;22;22;22,0;1;1;1;8,0;11,0;4,0;33,3;45,8;16,7;213,6;285,6;224,9;Abaixo do Básico;Básico;Abaixo do Básico;Insuficiente;Suficiente;Insuficiente;1
33733;22868501;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;F;264799305;M;2005-06-21;NOITE;;;;;;C;0;10;10;10,0;1;1;1;5,0;4,0;4,0;20,8;16,7;16,7;186,7;175,6;208,0;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
34567;22889339;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;49086;0;EM-3ª série;A;261103717;F;2003-02-08;MANHÃ;;;;;;C;0;13;13;13,0;0;0;0;;;;;;;;;;;;;;;;1
36401;22942314;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;EM-3ª série;C;260592811;F;2004-12-18;TARDE;;;;;;C;0;2;2;2,0;1;1;1;5,0;9,0;3,0;20,8;37,5;12,5;178,8;238,1;176,7;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
36415;22942802;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;49086;0;EM-3ª série;A;261103717;M;2005-11-03;MANHÃ;;;;;;C;0;14;14;14,0;1;1;1;18,0;20,0;10,0;75,0;83,3;41,7;318,3;356,7;308,9;Adequado;Adequado;Básico;Suficiente;Suficiente;Suficiente;1
36422;22943065;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;B;261092829;M;2005-05-10;MANHÃ;;;;;;C;0;13;13;13,0;1;1;1;18,0;19,0;11,0;75,0;79,2;45,8;303,8;366,5;308,3;Adequado;Adequado;Básico;Suficiente;Suficiente;Suficiente;1
36435;22943420;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;A;260638846;M;2005-02-15;MANHÃ;;;;;;C;0;7;7;7,0;1;1;1;15,0;8,0;10,0;62,5;33,3;41,7;280,2;247,5;326,4;Básico;Abaixo do Básico;Básico;Suficiente;Insuficiente;Suficiente;1
38226;23002136;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;C;260638861;M;2005-04-24;MANHÃ;;;;;;C;0;16;16;16,0;1;1;1;5,0;4,0;6,0;20,8;16,7;25,0;177,2;178,1;196,5;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
38284;23004763;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;C;260638861;F;2004-08-24;MANHÃ;;;;;;C;0;22;22;22,0;1;1;1;12,0;6,0;5,0;50,0;25,0;20,8;229,3;256,2;204,2;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
38297;23005155;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;A;260592860;M;2005-04-13;MANHÃ;;;;;;C;0;4;4;4,0;1;1;1;13,0;10,0;8,0;54,2;41,7;33,3;269,5;253,1;282,6;Básico;Abaixo do Básico;Básico;Suficiente;Insuficiente;Suficiente;1
38382;23008228;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;A;260638846;M;2004-12-22;MANHÃ;;;;;;C;0;25;25;25,0;1;1;1;10,0;6,0;12,0;41,7;25,0;50,0;244,4;234,4;300,4;Abaixo do Básico;Abaixo do Básico;Básico;Insuficiente;Insuficiente;Suficiente;1
39763;23046250;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;40708;0;EM-3ª série;B;260619598;M;2005-03-21;TARDE;;;;;;C;0;19;19;19,0;1;1;1;15,0;12,0;7,0;62,5;50,0;29,2;284,3;310,1;239,0;Básico;Básico;Abaixo do Básico;Suficiente;Suficiente;Insuficiente;1
39930;23050396;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;B;261092829;F;2005-04-10;MANHÃ;;;;;;C;0;7;7;7,0;1;1;1;7,0;9,0;4,0;29,2;37,5;16,7;201,0;231,8;208,5;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
39932;23050408;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;EM-3ª série;B;260592803;M;2005-12-27;TARDE;;;;;;C;0;2;2;2,0;1;1;1;12,0;7,0;7,0;50,0;29,2;29,2;255,9;259,7;229,6;Básico;Abaixo do Básico;Abaixo do Básico;Suficiente;Insuficiente;Insuficiente;1
39935;23050537;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;B;260592837;M;2004-04-17;MANHÃ;;;;;;C;0;25;25;25,0;0;0;0;;;;;;;;;;;;;;;;1
40221;23059699;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;A;260592860;F;2005-08-15;MANHÃ;;;;;;C;0;13;13;13,0;1;1;1;9,0;2,0;8,0;37,5;8,3;33,3;226,6;172,4;241,6;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
40223;23059747;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;EM-3ª série;A;261111041;F;2005-05-30;NOITE;;;;;;C;0;20;20;20,0;1;1;1;7,0;9,0;13,0;29,2;37,5;54,2;216,7;267,9;292,9;Abaixo do Básico;Abaixo do Básico;Básico;Insuficiente;Insuficiente;Suficiente;1
40778;23103263;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;G;266132257;F;2005-03-22;NOITE;;;;;;C;0;20;20;20,0;0;0;0;;;;;;;;;;;;;;;;1
41033;23115019;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;EM-3ª série;B;261111058;M;2004-12-25;NOITE;;;;;;C;0;23;23;23,0;1;1;1;18,0;17,0;15,0;75,0;70,8;62,5;338,9;347,2;367,9;Adequado;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
41311;23120418;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;D;260638879;M;2004-09-19;NOITE;;;;;;C;0;25;25;25,0;1;1;1;16,0;6,0;12,0;66,7;25,0;50,0;298,6;251,5;309,9;Básico;Abaixo do Básico;Básico;Suficiente;Insuficiente;Suficiente;1
41471;23123480;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;C;260638861;M;2004-08-15;MANHÃ;;;;;;C;0;17;17;17,0;1;1;1;9,0;11,0;4,0;37,5;45,8;16,7;223,2;266,6;188,8;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
41580;23125292;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;EM-3ª série;A;260592795;M;2004-10-22;TARDE;;;;;;C;0;17;17;17,0;0;0;1;;;6,0;;;25,0;;;232,9;;;Abaixo do Básico;;;Insuficiente;1
41851;23134196;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;EM-3ª série;A;260592795;F;2001-10-15;TARDE;1,0;9,0;11,0;;;C;1;23;23;23,0;0;0;0;;;;;;;;;;;;;;;;0
43942;23180458;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;B;261092829;M;2005-06-29;MANHÃ;;;;;;C;0;25;25;25,0;1;1;1;18,0;12,0;16,0;75,0;50,0;66,7;304,8;300,3;357,2;Adequado;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
43945;23180653;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;E;260592829;F;2005-01-30;NOITE;;;;;;C;0;24;24;24,0;0;0;1;;;9,0;;;37,5;;;229,3;;;Abaixo do Básico;;;Insuficiente;1
43994;23182132;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;B;260592837;F;2005-08-08;MANHÃ;;;;;;C;0;4;4;4,0;0;0;0;;;;;;;;;;;;;;;;1
44018;23182862;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;40708;0;EM-3ª série;A;260619580;M;2005-05-20;TARDE;;;;;;C;0;16;16;16,0;1;1;1;9,0;10,0;7,0;37,5;41,7;29,2;241,3;258,5;267,3;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
44043;23183613;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;D;260592852;M;2004-06-15;MANHÃ;;;;;;C;0;19;19;19,0;0;0;0;;;;;;;;;;;;;;;;1
